Generation,d_e,k_r,delta,k_o,d_min,Cost,index_dt,dt,index_dy,dy,index_dang,dang
1,2.4724184619141685,3.2492002615044813,6.59274688263122,0.1545393407401352,0.8087294473216344,516.5633070882657,1,2.845799207687378,2,-2.4012438416623496,2,0.4828501711634891
1,9.302233213565474,8.403007627366772,6.35626706943918,1.0363333802109564,4.322376353319517,520.0393125727228,2,2.9048068523406982,2,-3.202646544457018,2,0.5310686219633683
1,9.302233213565474,8.403007627366772,6.35626706943918,1.0363333802109564,4.322376353319517,542.7198714143233,1,2.941690683364868,2,-2.6097438223323977,2,0.522492399836722
1,8.078319638168429,2.476054576987923,5.359730809044205,4.782523503116173,4.931504549449859,542.7381364146624,2,3.036738395690918,2,-2.887020080607094,2,0.5751190878941168
1,8.445999973512578,9.122011896104263,5.9173047780844135,6.97376354041428,6.120630876817411,565.1191898684625,2,2.774836540222168,2,-3.2595699823182116,2,0.5647383179065182
1,9.302233213565474,8.403007627366772,6.35626706943918,1.0363333802109564,4.322376353319517,571.4508929592599,1,3.112914562225342,2,5.724244705294666,1,0.6583665309547216
1,9.302233213565474,8.403007627366772,6.35626706943918,1.0363333802109564,4.322376353319517,572.1929614993929,1,500,1,-0.15086648779492862,2,-0.5691192299442471
1,9.302233213565474,8.403007627366772,6.35626706943918,1.0363333802109564,4.322376353319517,584.9468722713275,1,500,2,0.009628706851557922,1,0.0262746354040564
1,9.744994980336942,1.681508428578411,4.8216938788246715,4.760385814489455,1.9764764169228843,632.5189911511891,2,3.13429856300354,2,-2.5766900195813633,2,0.9188496265760252
1,8.620565871244908,8.554268927931709,7.50615855837755,7.757153747652528,4.163797423381493,639.8341254589736,1,2.86247181892395,2,6.528027045918549,2,-1.5244075452827113
1,3.358476521861462,2.855758032658292,4.911535104546582,3.5408850966858303,1.9805262323634032,703.8759604656589,1,500,1,-1.0652311700727566,2,-0.6562366595547052
1,4.05531913795381,2.7477703682523527,6.555783165849437,0.8478015912093835,1.733769234300383,746.4385854061456,1,3.0390048027038574,2,-1.5724393199232694,1,0.665910077734535
1,5.123197126885572,2.0101315111574314,3.7379049986682675,5.33683185104964,8.601161941171236,863.0799136806713,1,2.8862364292144775,1,6.6377188433925625,2,-1.4908024273190676
1,9.83271630072566,7.145506169974444,7.623317025920657,1.746107380089929,4.271263760852476,898.1223558178663,1,3.792417049407959,2,-1.433351252915891,1,0.8743903470416037
1,3.40872639812026,7.139990130927264,4.815630926921534,6.8383211999711,8.83434732955672,940.5233913164066,1,500,1,-0.3026858136620376,2,-0.38164271542695427
1,2.2979458590414144,3.038643488506409,7.409305909058663,0.6854506771484441,1.112642347467903,986.6891396944284,2,2.6513938903808594,2,6.618743856523608,1,0.8920042934432046
1,9.115582782347841,5.713141649735517,8.909488748751087,5.177927144593282,3.8756182141728415,1018.9072577201566,2,2.634916305541992,2,1.4409386409805478,1,0.7386250450781761
1,6.347578309936213,7.33899274727427,6.893097403620848,3.780515647921279,4.751700603233229,1047.4309940437884,1,4.111478567123413,1,6.776693622417255,1,-1.7441709947194315
1,3.5124862692206973,6.98950600091098,7.007540317265357,1.5497506315421274,4.106098202217714,1113.418940328793,1,2.6168971061706543,2,6.333996141303018,1,0.866772073406356
1,2.4784582014022276,5.322929500832062,7.889139690640768,8.550783582065913,3.3215313321110527,1162.09069619641,1,3.3888254165649414,1,7.161106596773479,2,-1.5611049912334036
2,8.078319638168429,2.476054576987923,5.359730809044205,4.782523503116173,4.931504549449859,481.3792422614494,1,2.6362829208374023,3,6.622504274864156,1,0.9003406081728658
2,2.4724184619141685,3.2492002615044813,6.59274688263122,0.1545393407401352,0.8087294473216344,516.5633070882657,1,2.6541788578033447,2,5.325502160434695,1,0.7451482441850206
2,9.302233213565474,8.403007627366772,6.35626706943918,1.0363333802109564,4.322376353319517,520.0393125727228,2,2.648378849029541,2,-2.8302971144400715,1,0.6485903992121367
2,9.302233213565474,8.403007627366772,6.35626706943918,1.0363333802109564,4.322376353319517,542.7198714143233,1,2.554555892944336,2,6.105935757547371,1,0.8625955978333162
2,8.078319638168429,2.476054576987923,5.359730809044205,4.782523503116173,4.931504549449859,542.7381364146624,2,500,2,-1.5380815179471057,1,0.7311472434367652
2,8.445999973512578,9.122011896104263,5.9173047780844135,6.97376354041428,6.120630876817411,565.1191898684625,1,500,2,0.16102257209101367,1,-0.30164589124042807
2,9.302233213565474,8.403007627366772,6.35626706943918,1.0363333802109564,4.322376353319517,571.4508929592599,1,4.430322170257568,2,4.97121147751777,1,0.5757804187708307
2,9.302233213565474,8.403007627366772,6.35626706943918,1.0363333802109564,4.322376353319517,572.1929614993929,1,500,2,0.19230733538621791,1,-0.09587457380168898
2,9.302233213565474,8.403007627366772,6.35626706943918,1.0363333802109564,4.322376353319517,584.9468722713275,1,500,2,-1.049681225420457,2,-0.6451345264326545
2,9.744994980336942,1.681508428578411,4.8216938788246715,4.760385814489455,1.9764764169228843,632.5189911511891,2,3.218431234359741,2,4.387100716329456,1,0.5694945512588732
2,8.445999973512578,9.122011896104263,5.9173047780844135,6.97376354041428,6.120630876817411,633.0305411021034,1,2.9802002906799316,2,-1.4386948885985191,2,0.4877808861680118
2,8.620565871244908,8.554268927931709,7.50615855837755,7.757153747652528,4.163797423381493,635.938555829902,1,2.9168708324432373,2,6.406379093410493,1,0.8929380661084386
2,8.620565871244908,8.554268927931709,7.50615855837755,7.757153747652528,4.163797423381493,639.8341254589736,2,2.84541392326355,2,5.638858225655525,1,0.8573285460356909
2,3.358476521861462,2.855758032658292,4.911535104546582,3.5408850966858303,1.9805262323634032,703.8759604656589,1,2.766810894012451,2,5.5358798046883635,1,0.6088706687439369
2,4.05531913795381,2.7477703682523527,6.555783165849437,0.8478015912093835,1.733769234300383,746.4385854061456,1,3.155378580093384,1,7.072829274254417,2,-1.5319847430915843
2,5.123197126885572,2.0101315111574314,3.7379049986682675,5.33683185104964,8.601161941171236,863.0799136806713,1,3.2176737785339355,1,7.030467632567365,2,-1.623529897626643
2,9.83271630072566,7.145506169974444,7.623317025920657,1.746107380089929,4.271263760852476,898.1223558178663,1,2.629169464111328,2,-3.9261405245465966,1,0.5707957873968014
2,9.83271630072566,7.145506169974444,7.623317025920657,1.746107380089929,4.271263760852476,903.8890178130063,2,3.0135719776153564,2,6.154185862252575,1,0.8414596949090287
2,4.05531913795381,2.7477703682523527,6.555783165849437,0.8478015912093835,1.733769234300383,922.0897028253357,1,2.8125789165496826,2,5.778171470679425,1,0.7791226263485246
